Vertex	Distance	Predecessor
0	2.14748365E9		-1
1	2.14748365E9		-1
2	2.14748365E9		-1
3	2.14748365E9		-1
4	2.14748365E9		-1
5	2.14748365E9		-1
6	2.14748365E9		-1
7	2.14748365E9		-1
8	2.14748365E9		-1
9	2.14748365E9		-1
10	2.14748365E9		-1
11	2.14748365E9		-1
12	2.14748365E9		-1
13	2.14748365E9		-1
14	2.14748365E9		-1
15	2.14748365E9		-1
16	2.14748365E9		-1
17	2.14748365E9		-1
18	2.14748365E9		-1
19	2.14748365E9		-1
20	2.14748365E9		-1
21	2.14748365E9		-1
22	2.14748365E9		-1
23	2.14748365E9		-1
24	2.14748365E9		-1
25	2.14748365E9		-1
26	2.14748365E9		-1
27	2.14748365E9		-1
28	2.14748365E9		-1
29	2.14748365E9		-1
30	2.14748365E9		-1
31	2.14748365E9		-1
32	2.14748365E9		-1
33	2.14748365E9		-1
34	2.14748365E9		-1
35	2.14748365E9		-1
36	2.14748365E9		-1
37	2.14748365E9		-1
38	2.14748365E9		-1
39	2.14748365E9		-1
40	2.14748365E9		-1
41	2.14748365E9		-1
42	2.14748365E9		-1
43	2.14748365E9		-1
44	2.14748365E9		-1
45	2.14748365E9		-1
46	2.14748365E9		-1
47	2.14748365E9		-1
48	2.14748365E9		-1
49	2.14748365E9		-1
50	2.14748365E9		-1
51	2.14748365E9		-1
52	2.14748365E9		-1
53	2.14748365E9		-1
54	2.14748365E9		-1
55	2.14748365E9		-1
56	2.14748365E9		-1
57	2.14748365E9		-1
58	2.14748365E9		-1
59	2.14748365E9		-1
60	2.14748365E9		-1
61	2.14748365E9		-1
62	2.14748365E9		-1
63	2.14748365E9		-1
64	2.14748365E9		-1
65	2.14748365E9		-1
66	2.14748365E9		-1
67	2.14748365E9		-1
68	2.14748365E9		-1
69	2.14748365E9		-1
70	2.14748365E9		-1
71	2.14748365E9		-1
72	2.14748365E9		-1
73	2.14748365E9		-1
74	2.14748365E9		-1
75	2.14748365E9		-1
76	2.14748365E9		-1
77	2.14748365E9		-1
78	2.14748365E9		-1
79	2.14748365E9		-1
80	2.14748365E9		-1
81	2.14748365E9		-1
82	2.14748365E9		-1
83	2.14748365E9		-1
84	2.14748365E9		-1
85	2.14748365E9		-1
86	2.14748365E9		-1
87	2.14748365E9		-1
88	2.14748365E9		-1
89	2.14748365E9		-1
90	2.14748365E9		-1
91	2.14748365E9		-1
92	2.14748365E9		-1
93	2.14748365E9		-1
94	2.14748365E9		-1
95	2.14748365E9		-1
96	2.14748365E9		-1
97	2.14748365E9		-1
98	2.14748365E9		-1
99	2.14748365E9		-1
100	2.14748365E9		-1
101	2.14748365E9		-1
102	2.14748365E9		-1
103	2.14748365E9		-1
104	2.14748365E9		-1
105	2.14748365E9		-1
